Experiment,Tag,Trigger,Arch_Pair,Dist_Ep,FT_Ep,Temp,V_Temp,RW,Delta,Beta,Trig_Size,T_Acc,S_Acc(FT0%),Design,FT0%_Shift,FT0%_P,FT0%_Ver,FT1%_Acc,FT1%_Shift,FT1%_P,FT1%_Ver,FT5%_Acc,FT5%_Shift,FT5%_P,FT5%_Ver,FT10%_Acc,FT10%_Shift,FT10%_P,FT10%_Ver
Exp2_RWSweep,rw_sweep_0.01,OWN,resnet20 -> resnet20,80,20,5,10.0,0.01,5.0,0.5,50000,92.6%,84.4%,mean_rest,0.0026,1.0e+00,False,84.0%,0.0023,1.0e+00,False,83.9%,0.0022,1.0e+00,False,84.1%,0.0023,1.0e+00,False
Exp2_RWSweep,rw_sweep_0.01,OWN,resnet20 -> resnet20,80,20,5,10.0,0.01,5.0,0.5,50000,92.6%,84.4%,single_ctrl,0.0007,3.3e-09,False,84.0%,0.0010,2.1e-07,False,83.9%,0.0001,5.6e-03,False,84.1%,0.0006,3.0e-21,True
Exp2_RWSweep,rw_sweep_0.01,OWN,resnet20 -> resnet20,80,20,5,10.0,0.01,5.0,0.5,50000,92.6%,84.4%,suspect_top1,0.0005,4.8e-05,False,84.0%,0.0004,7.9e-05,False,83.9%,0.0006,3.4e-08,False,84.1%,0.0004,3.9e-19,False
Exp2_RWSweep,rw_sweep_0.05,OWN,resnet20 -> resnet20,80,20,5,10.0,0.05,5.0,0.5,50000,92.6%,84.8%,mean_rest,0.0037,9.0e-01,False,84.6%,0.0038,1.0e+00,False,84.4%,0.0036,2.1e-01,False,84.7%,0.0032,8.3e-01,False
Exp2_RWSweep,rw_sweep_0.05,OWN,resnet20 -> resnet20,80,20,5,10.0,0.05,5.0,0.5,50000,92.6%,84.8%,single_ctrl,0.0019,1.2e-97,True,84.6%,0.0021,1.3e-120,True,84.4%,0.0013,2.9e-96,True,84.7%,0.0012,8.9e-101,True
Exp2_RWSweep,rw_sweep_0.05,OWN,resnet20 -> resnet20,80,20,5,10.0,0.05,5.0,0.5,50000,92.6%,84.8%,suspect_top1,0.0020,8.9e-116,True,84.6%,0.0017,2.4e-118,True,84.4%,0.0018,3.4e-122,True,84.7%,0.0014,2.6e-117,True
Exp2_RWSweep,rw_sweep_0.10,OWN,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.5,50000,92.6%,84.5%,mean_rest,0.0058,2.4e-173,True,84.3%,0.0060,3.9e-157,True,84.4%,0.0056,4.0e-191,True,84.4%,0.0054,1.2e-191,True
Exp2_RWSweep,rw_sweep_0.10,OWN,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.5,50000,92.6%,84.5%,single_ctrl,0.0039,0.0e+00,True,84.3%,0.0047,0.0e+00,True,84.4%,0.0038,0.0e+00,True,84.4%,0.0034,0.0e+00,True
Exp2_RWSweep,rw_sweep_0.10,OWN,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.5,50000,92.6%,84.5%,suspect_top1,0.0038,0.0e+00,True,84.3%,0.0041,0.0e+00,True,84.4%,0.0039,0.0e+00,True,84.4%,0.0030,0.0e+00,True
Exp2_RWSweep,rw_sweep_0.20,OWN,resnet20 -> resnet20,80,20,5,10.0,0.2,5.0,0.5,50000,92.6%,83.9%,mean_rest,0.0101,0.0e+00,True,83.7%,0.0094,0.0e+00,True,84.5%,0.0090,0.0e+00,True,84.2%,0.0093,0.0e+00,True
Exp2_RWSweep,rw_sweep_0.20,OWN,resnet20 -> resnet20,80,20,5,10.0,0.2,5.0,0.5,50000,92.6%,83.9%,single_ctrl,0.0082,0.0e+00,True,83.7%,0.0076,0.0e+00,True,84.5%,0.0067,0.0e+00,True,84.2%,0.0078,0.0e+00,True
